model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,20,-21789.13534300753,43618.27068601506,43730.61604228763,(1) Any VTE
Interaction with log(t),21,-21705.425647178912,43452.851294357824,43570.81391844402,(1) Any VTE
NCS with df = 1,21,-21771.409947958226,43584.81989591645,43702.78252000265,(1) Any VTE
NCS with df = 2,22,-21730.01441899204,43504.02883798408,43627.608729883905,(1) Any VTE
NCS with df = 3,23,-21688.411431585337,43422.82286317067,43552.02002288413,(1) Any VTE
NCS with df = 6,26,-21667.55004326757,43387.10008653514,43533.14904968948,(1) Any VTE
