model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,24,-46409.366895426254,92866.73379085251,93018.19555302455,(1) Any VTE
Interaction with log(t),29,-46212.06718946375,92482.1343789275,92665.15067488539,(1) Any VTE
NCS with df = 1,29,-46346.5673665276,92751.1347330552,92934.15102901308,(1) Any VTE
NCS with df = 2,34,-46282.05904722126,92632.11809444251,92846.68892418624,(1) Any VTE
NCS with df = 3,39,-46186.44693319757,92450.89386639514,92697.01922992471,(1) Any VTE
NCS with df = 4,44,-46152.390779627836,92392.78155925567,92670.46145657108,(1) Any VTE
NCS with df = 5,49,-46145.78795279878,92389.575905597565,92698.81033669882,(1) Any VTE
NCS with df = 6,54,-46145.51611373168,92399.03222746337,92739.82119235046,(1) Any VTE
