model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,24,-21825.628281598827,43699.256563197654,43834.07099072474,(1) Any VTE
Interaction with log(t),29,-21721.59321822535,43501.1864364507,43664.08720304592,(1) Any VTE
NCS with df = 1,29,-21794.428003166333,43646.856006332666,43809.75677292789,(1) Any VTE
NCS with df = 2,34,-21760.23201177575,43588.4640235515,43779.45112921487,(1) Any VTE
NCS with df = 3,39,-21709.31373649639,43496.62747299278,43715.70091772429,(1) Any VTE
NCS with df = 4,44,-21688.12384396793,43464.24768793586,43711.4074717355,(1) Any VTE
NCS with df = 5,49,-21681.879351762764,43461.75870352553,43737.00482639331,(1) Any VTE
NCS with df = 6,54,-21682.970928973864,43473.94185794773,43777.27431988366,(1) Any VTE
