model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,21,-21825.759736163192,43693.519472326385,43811.48209641258,(1) Any VTE
Interaction with log(t),23,-21723.883246986585,43493.76649397317,43622.963653686624,(1) Any VTE
NCS with df = 1,23,-21796.61507916522,43639.23015833044,43768.4273180439,(1) Any VTE
NCS with df = 2,25,-21760.80742218134,43571.61484436268,43712.04653970339,(1) Any VTE
NCS with df = 3,27,-21722.51131015544,43499.02262031088,43650.68885127885,(1) Any VTE
NCS with df = 4,29,-21699.39361964829,43456.78723929658,43619.6880058918,(1) Any VTE
NCS with df = 5,31,-21693.39807218349,43448.79614436698,43622.93144658946,(1) Any VTE
NCS with df = 6,33,-21694.225074681326,43454.45014936265,43639.81998721239,(1) Any VTE
