model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,21,-46410.85437490277,92863.70874980553,92996.23779170607,(1) Any VTE
Interaction with log(t),23,-46216.13262622127,92478.26525244254,92623.41610785741,(1) Any VTE
NCS with df = 1,23,-46352.16193982605,92750.3238796521,92895.47473506698,(1) Any VTE
NCS with df = 2,25,-46285.889566805774,92621.77913361155,92779.55180254077,(1) Any VTE
NCS with df = 3,27,-46202.71650771347,92459.43301542694,92629.82749787049,(1) Any VTE
NCS with df = 4,29,-46167.03592075798,92392.07184151596,92575.08813747385,(1) Any VTE
NCS with df = 5,31,-46160.87977393049,92383.75954786097,92579.39765733319,(1) Any VTE
NCS with df = 6,33,-46163.882902323174,92393.76580464635,92602.0257276329,(1) Any VTE
