model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,22,-46407.05310973951,92858.10621947901,92996.94616813672,(1) Any VTE
Interaction with log(t),23,-46218.250437547504,92482.50087509501,92627.65173050988,(1) Any VTE
NCS with df = 1,23,-46354.27979111639,92754.55958223277,92899.71043764765,(1) Any VTE
NCS with df = 2,25,-46287.130067070284,92624.26013414057,92782.03280306979,(1) Any VTE
NCS with df = 3,27,-46201.35535617816,92456.71071235632,92627.10519479986,(1) Any VTE
NCS with df = 4,29,-46164.37754700078,92386.75509400156,92569.77138995945,(1) Any VTE
NCS with df = 5,31,-46158.84518563741,92379.69037127482,92575.32848074703,(1) Any VTE
NCS with df = 6,33,-46162.130536389755,92390.26107277951,92598.52099576607,(1) Any VTE
