model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,22,-21820.05546486689,43684.11092973378,43807.69082163361,(1) Any VTE
Interaction with log(t),23,-21725.097356966682,43496.194713933364,43625.39187364682,(1) Any VTE
NCS with df = 1,23,-21798.05792383367,43642.11584766734,43771.31300738079,(1) Any VTE
NCS with df = 2,25,-21762.93772503292,43575.87545006584,43716.30714540655,(1) Any VTE
NCS with df = 3,27,-21720.3263816554,43494.6527633108,43646.318994278765,(1) Any VTE
NCS with df = 4,29,-21697.904938728363,43453.809877456726,43616.71064405195,(1) Any VTE
NCS with df = 5,31,-21691.95182659122,43445.90365318244,43620.03895540492,(1) Any VTE
NCS with df = 6,33,-21693.95103406139,43453.90206812278,43639.27190597251,(1) Any VTE
