model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,16,-3254.8262727299616,6541.652545459923,6604.094678794345,(1) Any VTE
Interaction with log(t),17,-3225.065294129912,6484.130588259824,6550.4753549276475,(1) Any VTE
NCS with df = 1,17,-3242.4526310594774,6518.905262118955,6585.250028786778,(1) Any VTE
NCS with df = 2,18,-3235.760196191588,6507.520392383176,6577.7677923844,(1) Any VTE
NCS with df = 3,19,-3221.9810878073404,6481.962175614681,6556.1122089493065,(1) Any VTE
NCS with df = 4,20,-3220.2204068449078,6480.4408136898155,6558.493480357843,(1) Any VTE
NCS with df = 5,21,-3220.0818786578657,6482.163757315731,6564.11905731716,(1) Any VTE
NCS with df = 6,22,-3219.837758789517,6483.675517579034,6569.533450913864,(1) Any VTE
