model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,16,-6796.4154993543325,13624.830998708665,13697.920245291256,(1) Any VTE
Interaction with log(t),17,-6738.100655587929,13510.201311175859,13587.858635669862,(1) Any VTE
NCS with df = 1,17,-6770.423065948154,13574.846131896307,13652.50345639031,(1) Any VTE
NCS with df = 2,18,-6756.585966643794,13549.171933287587,13631.397335693004,(1) Any VTE
NCS with df = 3,19,-6732.1597386322555,13502.319477264511,13589.11295758134,(1) Any VTE
NCS with df = 4,20,-6730.667728149222,13501.335456298444,13592.697014526684,(1) Any VTE
NCS with df = 5,21,-6729.693277841242,13501.386555682484,13597.316191822136,(1) Any VTE
NCS with df = 6,22,-6730.040058812358,13504.080117624717,13604.57783167578,(1) Any VTE
