model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,16,-25388.084697026712,50808.169394053424,50900.39133465855,(1) Any VTE
Interaction with log(t),17,-25308.553962057482,50651.107924114964,50749.093736007904,(1) Any VTE
NCS with df = 1,17,-25371.311965329263,50776.62393065853,50874.60974255147,(1) Any VTE
NCS with df = 2,18,-25342.664121961385,50721.32824392277,50825.077927103535,(1) Any VTE
NCS with df = 3,19,-25291.58960489477,50621.17920978954,50730.69276425812,(1) Any VTE
NCS with df = 4,20,-25274.714916837056,50589.42983367411,50704.707259430514,(1) Any VTE
NCS with df = 5,21,-25271.969427764147,50585.93885552829,50706.98015257252,(1) Any VTE
NCS with df = 6,22,-25273.097050616245,50590.19410123249,50716.999269564534,(1) Any VTE
