model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,20,-9696.236360900126,19432.47272180025,19528.74161379047,(1) Any VTE
Interaction with log(t),21,-9639.186024957904,19320.372049915808,19421.45438650554,(1) Any VTE
NCS with df = 1,21,-9680.843556886213,19403.687113772427,19504.769450362157,(1) Any VTE
NCS with df = 2,22,-9658.968885105145,19361.93777021029,19467.83355139953,(1) Any VTE
NCS with df = 3,23,-9628.191075227478,19302.382150454956,19413.091376243705,(1) Any VTE
NCS with df = 4,24,-9620.236399474086,19288.472798948173,19403.995469336434,(1) Any VTE
NCS with df = 5,25,-9620.356620995864,19290.71324199173,19411.0493569795,(1) Any VTE
NCS with df = 6,26,-9619.73964014788,19291.47928029576,19416.628839883044,(1) Any VTE
