model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,20,-20340.1182669966,40720.2365339932,40830.04712203441,(1) Any VTE
Interaction with log(t),21,-20233.077596865773,40508.155193731545,40623.45631117482,(1) Any VTE
NCS with df = 1,21,-20303.726191747974,40649.45238349595,40764.75350093922,(1) Any VTE
NCS with df = 2,22,-20272.214003623463,40588.42800724693,40709.21965409226,(1) Any VTE
NCS with df = 3,23,-20213.339699377575,40472.67939875515,40598.96157500255,(1) Any VTE
NCS with df = 4,24,-20202.19943054464,40452.39886108928,40584.17156673873,(1) Any VTE
NCS with df = 5,25,-20203.678867024348,40457.357734048695,40594.620969100215,(1) Any VTE
NCS with df = 6,26,-20198.529874110005,40449.05974822001,40591.81351267359,(1) Any VTE
