model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,22,-21826.189590835944,43696.37918167189,43819.959073571714,(1) Any VTE
Interaction with log(t),23,-21725.72957405613,43497.45914811226,43626.65630782572,(1) Any VTE
NCS with df = 1,23,-21796.054449878156,43638.10889975631,43767.30605946977,(1) Any VTE
NCS with df = 2,25,-21762.451828417292,43574.903656834584,43715.335352175294,(1) Any VTE
NCS with df = 3,27,-21723.343307782856,43500.68661556571,43652.35284653368,(1) Any VTE
NCS with df = 4,29,-21696.054771998424,43450.10954399685,43613.01031059207,(1) Any VTE
NCS with df = 5,31,-21689.825594235488,43441.651188470976,43615.786490693456,(1) Any VTE
NCS with df = 6,33,-21692.3057908645,43450.611581729,43635.98141957873,(1) Any VTE
