model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,22,-46408.821081264185,92861.64216252837,93000.48211118608,(1) Any VTE
Interaction with log(t),23,-46218.18578285974,92482.37156571948,92627.52242113436,(1) Any VTE
NCS with df = 1,23,-46354.35622997655,92754.7124599531,92899.86331536797,(1) Any VTE
NCS with df = 2,25,-46287.97634421361,92625.95268842722,92783.72535735644,(1) Any VTE
NCS with df = 3,27,-46203.601824211175,92461.20364842235,92631.5981308659,(1) Any VTE
NCS with df = 4,29,-46166.94868232209,92391.89736464417,92574.91366060206,(1) Any VTE
NCS with df = 5,31,-46159.14046918509,92380.28093837018,92575.9190478424,(1) Any VTE
NCS with df = 6,33,-46162.54574382702,92391.09148765403,92599.3514106406,(1) Any VTE
