model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,20,-10166.244481808017,20372.488963616033,20470.94184144555,(1) Any VTE
Interaction with log(t),21,-10115.32033102044,20272.64066204088,20376.016183761876,(1) Any VTE
NCS with df = 1,21,-10155.828741397649,20353.657482795297,20457.033004516292,(1) Any VTE
NCS with df = 2,22,-10135.130553146555,20314.26110629311,20422.55927190558,(1) Any VTE
NCS with df = 3,23,-10110.527021229593,20267.054042459185,20380.27485196313,(1) Any VTE
NCS with df = 6,26,-10096.088588762854,20244.177177525708,20372.165918704082,(1) Any VTE
NCS with df = 8,28,-10090.467233691112,20236.934467382223,20374.76849634355,(1) Any VTE
NCS with df = 10,30,-10086.461413228326,20232.922826456652,20380.60214320093,(1) Any VTE
