model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,20,-46410.88119818597,92861.76239637194,92987.9805315153,(1) Any VTE
Interaction with log(t),21,-46219.5538468482,92481.1076936964,92613.63673559693,(1) Any VTE
NCS with df = 1,21,-46355.91618885848,92753.83237771696,92886.36141961749,(1) Any VTE
NCS with df = 2,22,-46289.25572201913,92622.51144403826,92761.35139269597,(1) Any VTE
NCS with df = 3,23,-46205.509230819094,92457.01846163819,92602.16931705306,(1) Any VTE
NCS with df = 6,26,-46167.83356767874,92387.66713535748,92551.75071104386,(1) Any VTE
